sample	coverage	taxonomy
Novel_genomes_no_reference-R1	0.07	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae
Novel_genomes_no_reference-R1	1.89	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Dermatophilaceae
Novel_genomes_no_reference-R1	0.8	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae
Novel_genomes_no_reference-R1	1.87	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nitriliruptorales; f__Nitriliruptoraceae
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae
Novel_genomes_no_reference-R1	0.91	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae
Novel_genomes_no_reference-R1	0.43	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2
Novel_genomes_no_reference-R1	0.59	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA8190
Novel_genomes_no_reference-R1	1.2	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__JAAYBP01
Novel_genomes_no_reference-R1	0.55	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae
Novel_genomes_no_reference-R1	0.52	Root; d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
Novel_genomes_no_reference-R1	0.52	Root; d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Firmicutes_D; c__Dethiobacteria; o__Dethiobacterales; f__Dethiobacteraceae
Novel_genomes_no_reference-R1	0.41	Root; d__Bacteria; p__Firmicutes_D; c__Dethiobacteria; o__SKNC01; f__SKNC01
