name	mean	rank
SW-10-69-26	2510772.6666666665	class
Symbiobacteriia	3307309.25	class
SYMT01	4826006.25	class
Synergistia	2220645.4260089686	class
Syntropharchaeia	1915268.6	class
Syntrophia	2962272.5639534886	class
Syntrophobacteria	3924673.1666666665	class
Syntrophomonadia	2746431.35	class
Syntrophorhabdia	3118697.418604651	class
SZUA-182	3068813.75	class
SZUA-365	4099370.5	class
SZUA-567	4858880.6	class
SZUA-79	1842807.857142857	class
T1Sed10-126	2177529	class
T3Sed10-11	3753322.25	class
Tb-RUG-66	1374628	class
TC1	1976738	class
Termititenacia	2046580.5	class
Thermaerobacteria	2707039.1666666665	class
Thermincolia	3524984.25	class
Thermoanaerobacteria	2670680.957894737	class
Thermoanaerobaculia	4446649.757894737	class
Thermococci	1924265.2105263157	class
Thermodesulfobacteria	1728015.6888888888	class
Thermodesulfobiia	1705891	class
Thermodesulfovibrionia	2666631.167630058	class
Thermoleophilia	2780034.96875	class
Thermoplasmata	1654559.9423631125	class
Thermoproteia	1952487.5625	class
Thermosediminibacteria	2572319.0322580645	class
Thermosulfidibacteria	1753248.75	class
Thermotogae	2160101.6341463416	class
Thorarchaeia	3125045.75	class
UBA10030	3573558.4536082475	class
UBA10199	2202097.3488372094	class
UBA10988	5458003	class
UBA11346	4477151.166666667	class
UBA1135	4444746.086021505	class
UBA1144	1608024.6578947369	class
UBA1177	2513457.904761905	class
UBA11872	2513007.5714285714	class
UBA12135	4055638	class
UBA1384	1258383	class
UBA1439	2499995	class
UBA148	1294840	class
UBA1551	2235749.75	class
UBA186	1452907	class
UBA2214	5040267.666666667	class
UBA2233	1842963.5	class
UBA2235	3828238.8214285714	class
UBA2242	2902555.3684210526	class
UBA2361	3169202.15	class
UBA2394	2338324.6666666665	class
UBA2428	3200161.3333333335	class
UBA2968	5711511.2	class
UBA3054	2291359.111111111	class
UBA3072	1973870.6666666667	class
UBA3073	2176270	class
UBA3569	2291801.5	class
UBA4055	2909183.947368421	class
UBA4092	3463403	class
UBA4151	3743789	class
UBA4733	7555351	class
UBA4738	2611701.970588235	class
UBA4802	3862962.962962963	class
UBA4820	2550284.75	class
UBA4882	2658452.523809524	class
UBA5177	3368523	class
UBA5214	2269718.5	class
UBA5301	2154063	class
UBA5359	2215741	class
UBA5377	4990686.05882353	class
UBA5435	2764925	class
UBA5829	3160859.3529411764	class
UBA6077	5863463.888888889	class
UBA6098	2695407.1666666665	class
UBA6099	4171428.5	class
UBA6191	5655475.25	class
UBA6262	1670210.5	class
UBA6266	1727108.5	class
UBA6624	1264697	class
UBA6777	10329077	class
UBA6911	5478832.576923077	class
UBA6919	3180988.3333333335	class
UBA727	5416632	class
UBA7883	2498582.8	class
UBA796	6051049.111111111	class
UBA8108	3441255.1315789474	class
UBA8248	3536976.125	class
UBA8468	1611001	class
UBA8473	2611695.875	class
UBA8477	3511841.230769231	class
UBA8481	2640685.6666666665	class
UBA8742	3769013.1	class
UBA890	3703320.8	class
UBA8919	1932718.3333333333	class
UBA9042	5812028.4625	class
UBA9088	1505392	class
UBA9160	4509352.548387097	class
UBA9217	3230920.8333333335	class
UBA994	2141727.285714286	class
UBA9942	2162260.777777778	class
UBA9980	4824502	class
Undinarchaeia	678837.8571428572	class
Vampirovibrionia	2409854.169398907	class
Verrucomicrobiae	3513391.676093917	class
VGIX01	2485374.3333333335	class
Vicinamibacteria	4633234.155172414	class
WGA-4E	5395017.454545454	class
WOR-1	1703408.076923077	class
WOR-3	2266872.7027027025	class
WTBG01	3154033.75	class
Wukongarchaeia	2098845.5	class
WWE3	872093	class
WYAZ01	8125157.666666667	class
